player_id,name,position,team,consensus_pos_rank,my_pos_rank,tier,overall_rank,drafted,bye_week,SOS,ECRvsADP
67,Isiah Pacheco,RB,KC,26,26,4,67,0,10,2,-4
68,Chris Olave,WR,NO,32,32,5,68,0,11,4,7
69,Joe Mixon,RB,HOU,27,27,4,69,0,6,2,-18
70,Baker Mayfield,QB,TB,7,6,2,70,0,9,2,-3
71,T.J. Hockenson,TE,MIN,5,5,2,71,0,6,3,-10
72,Kaleb Johnson,RB,PIT,28,28,4,72,0,5,4,-3
73,Travis Hunter,WR,JAC,33,53,5,73,0,8,4,-2
74,Jerry Jeudy,WR,CLE,34,33,5,74,0,9,2,2
75,Brian Robinson Jr.,RB,WAS,29,29,5,75,0,12,2,5
76,Bo Nix,QB,DEN,8,9,3,76,0,12,4,-2
77,Rome Odunze,WR,CHI,35,39,5,77,0,5,2,6
78,Kyler Murray,QB,ARI,9,8,3,78,0,8,4,9
79,Mark Andrews,TE,BAL,6,6,3,79,0,7,3,-2
80,Travis Kelce,TE,KC,7,7,3,80,0,10,3,-14
81,Jordan Addison,WR,MIN,36,34,5,81,0,6,2,-2
82,Jakobi Meyers,WR,LV,37,36,5,82,0,8,4,12
83,Chris Godwin,WR,TB,38,35,5,83,0,9,3,-5
84,Jaylen Warren,RB,PIT,30,30,5,84,0,5,4,0
85,David Njoku,TE,CLE,8,8,3,85,0,9,3,3
86,Justin Fields,QB,NYJ,10,10,3,86,0,9,5,15
87,Evan Engram,TE,DEN,9,9,3,87,0,12,3,-2
88,Jauan Jennings,WR,SF,39,40,5,88,0,14,4,5
89,Tyrone Tracy Jr.,RB,NYG,31,31,5,89,0,14,3,-8
90,Brock Purdy,QB,SF,11,11,3,90,0,14,4,8
91,Stefon Diggs,WR,NE,40,37,5,91,0,14,3,0
92,Dak Prescott,QB,DAL,12,12,3,92,0,10,2,14
93,Khalil Shakir,WR,BUF,41,41,5,93,0,7,3,3
94,Travis Etienne Jr.,RB,JAC,32,36,5,94,0,8,2,-4
95,Jayden Reed,WR,GB,42,38,5,95,0,5,2,0
96,Justin Herbert,QB,LAC,13,13,3,96,0,12,3,8
97,Caleb Williams,QB,CHI,14,16,4,97,0,5,2,12
98,Deebo Samuel Sr.,WR,WAS,43,42,5,98,0,12,3,-12
99,Ricky Pearsall,WR,SF,44,55,5,99,0,14,4,1
100,Tucker Kraft,TE,GB,11,11,4,100,0,5,2,5
101,Josh Downs,WR,IND,45,43,5,101,0,11,4,13
102,Jared Goff,QB,DET,15,14,4,102,0,8,2,-10
103,Javonte Williams,RB,DAL,33,40,5,103,0,10,2,5
104,Jordan Mason,RB,MIN,34,32,5,104,0,6,3,-5
105,Drake Maye,QB,NE,16,15,4,105,0,14,5,16
106,Jordan Love,QB,GB,17,17,4,106,0,5,2,14
107,Rhamondre Stevenson,RB,NE,35,37,5,107,0,14,4,4
108,Cam Skattebo,RB,NYG,36,38,5,108,0,14,3,-11
109,Zach Charbonnet,RB,SEA,37,33,5,109,0,8,3,-6
110,Najee Harris,RB,LAC,38,39,5,110,0,12,2,-8
111,Cooper Kupp,WR,SEA,46,54,6,111,0,8,3,-22
112,Quinshon Judkins,RB,CLE,39,41,5,112,0,9,4,-30
113,Michael Pittman Jr.,WR,IND,47,44,6,113,0,11,4,15
114,Tyjae Spears,RB,TEN,40,34,5,114,0,10,2,9
115,Trevor Lawrence,QB,JAC,18,18,4,115,0,8,3,47
116,Tank Bigsby,RB,JAC,41,35,5,116,0,8,2,8
117,Jake Ferguson,TE,DAL,12,12,4,117,0,10,2,0
118,Dalton Kincaid,TE,BUF,13,14,4,118,0,7,3,0
119,Darnell Mooney,WR,ATL,48,45,6,119,0,5,3,17
120,Rachaad White,RB,TB,42,42,5,120,0,9,3,9
121,Emeka Egbuka,WR,TB,49,46,6,121,0,9,3,-5
122,C.J. Stroud,QB,HOU,19,19,4,122,0,6,3,3
123,Tyler Warren,TE,IND,14,15,4,123,0,11,3,-11
124,Dallas Goedert,TE,PHI,15,13,4,124,0,9,3,3
125,Brandon Aiyuk,WR,SF,50,47,6,125,0,14,4,-10
126,J.K. Dobbins,RB,DEN,43,43,5,126,0,12,2,-13
127,J.J. McCarthy,QB,MIN,20,20,4,127,0,6,2,3
128,Rashid Shaheed,WR,NO,51,48,6,128,0,11,4,30
129,Matthew Golden,WR,GB,52,57,6,129,0,5,2,-22
130,Keon Coleman,WR,BUF,53,49,6,130,0,7,3,4
131,Austin Ekeler,RB,WAS,44,44,6,131,0,12,2,6
132,Colston Loveland,TE,CHI,16,17,4,132,0,5,4,-13
133,Ray Davis,RB,BUF,45,45,6,133,0,7,4,11
134,Christian Kirk,WR,HOU,54,50,6,134,0,6,4,34
135,Tua Tagovailoa,QB,MIA,21,21,5,135,0,12,5,12
136,Rashod Bateman,WR,BAL,55,56,6,136,0,7,3,42
137,Jerome Ford,RB,CLE,46,46,6,137,0,9,4,4
138,Kyle Pitts Sr.,TE,ATL,17,16,4,138,0,5,3,2
139,Tyler Allgeier,RB,ATL,47,47,6,139,0,5,4,24
140,Matthew Stafford,QB,LAR,22,24,5,140,0,8,3,25
141,Isaac Guerendo,RB,SF,48,48,6,141,0,14,3,-9
142,Jonnu Smith,TE,PIT,18,18,4,142,0,5,3,-32
143,Trey Benson,RB,ARI,49,49,6,143,0,8,3,6
144,Luther Burden III,WR,CHI,56,51,6,144,0,5,2,1
145,Cedric Tillman,WR,CLE,57,62,6,145,0,9,2,57
146,Hunter Henry,TE,NE,19,19,4,146,0,14,3,25
147,Michael Penix Jr.,QB,ATL,23,23,5,147,0,5,4,7
148,Bryce Young,QB,CAR,24,22,5,148,0,14,3,13
149,Braelon Allen,RB,NYJ,50,50,6,149,0,9,5,6
150,Jaydon Blue,RB,DAL,51,51,6,150,0,10,2,-19
151,Marvin Mims Jr.,WR,DEN,58,59,6,151,0,12,3,0
152,Rico Dowdle,RB,CAR,52,52,6,152,0,14,3,-6
153,Tre' Harris,WR,LAC,59,58,6,153,0,12,3,-10
154,Marquise Brown,WR,KC,60,52,6,154,0,10,3,2
155,Romeo Doubs,WR,GB,61,61,7,155,0,5,2,57
156,Zach Ertz,TE,WAS,20,20,5,156,0,12,3,21
157,Nick Chubb,RB,HOU,53,53,6,157,0,6,2,-24
158,Adam Thielen,WR,CAR,62,70,7,158,0,14,4,23
159,Jaylen Wright,RB,MIA,54,54,6,159,0,12,4,5
160,Jalen McMillan,WR,TB,63,63,7,160,0,9,3,9
161,Kyle Williams,WR,NE,64,64,7,161,0,14,3,9
162,Geno Smith,QB,LV,25,25,5,162,0,8,3,-3
163,Jayden Higgins,WR,HOU,65,65,7,163,0,6,4,-25
164,Bhayshul Tuten,RB,JAC,55,55,6,164,0,8,2,-22
165,Wan'Dale Robinson,WR,NYG,66,66,7,165,0,14,2,42
166,Quentin Johnston,WR,LAC,67,67,7,166,0,12,3,40
167,Dylan Sampson,RB,CLE,56,56,6,167,0,9,4,7
168,DeMario Douglas,WR,NE,68,68,7,168,0,14,3,43
169,Roschon Johnson,RB,CHI,57,57,6,169,0,5,3,34
170,Brenton Strange,TE,JAC,21,21,5,170,0,8,3,15
171,Xavier Legette,WR,CAR,69,60,7,171,0,14,4,29
172,Blake Corum,RB,LAR,58,58,7,172,0,8,3,15
173,Isaiah Likely,TE,BAL,22,22,5,173,0,7,3,2
174,Sam Darnold,QB,SEA,26,26,5,174,0,8,4,-7
175,Cameron Ward,QB,TEN,27,27,5,175,0,10,2,-27
176,Joshua Palmer,WR,BUF,70,69,7,176,0,7,3,37
177,MarShawn Lloyd,RB,GB,59,59,7,177,0,5,4,40
178,Denver Broncos,DS,DEN,1,1,1,178,0,12,4,-56
179,Philadelphia Eagles,DS,PHI,2,2,1,179,0,9,2,-53
180,DeAndre Hopkins,WR,BAL,71,71,7,180,0,7,3,-20
181,Pat Freiermuth,TE,PIT,23,23,5,181,0,5,3,11
182,Pittsburgh Steelers,DS,PIT,3,3,1,182,0,5,3,-47
183,Minnesota Vikings,DS,MIN,4,4,1,183,0,6,2,-31
184,Mike Gesicki,TE,CIN,24,24,5,184,0,10,2,4
185,Mason Taylor,TE,NYJ,25,25,5,185,0,9,3,16
186,Baltimore Ravens,DS,BAL,5,5,1,186,0,7,3,-36
187,Chig Okonkwo,TE,TEN,26,26,5,187,0,10,3,7
188,Jack Bech,WR,LV,72,72,7,188,0,8,4,-31
189,Alec Pierce,WR,IND,73,73,7,189,0,11,4,33
190,Cade Otton,TE,TB,27,27,5,190,0,9,3,-14
191,Aaron Rodgers,QB,PIT,28,28,5,191,0,5,4,-18
192,Houston Texans,DS,HOU,6,6,2,192,0,6,2,-26
193,Michael Wilson,WR,ARI,74,74,7,193,0,8,4,66
194,Kareem Hunt,RB,KC,60,60,7,194,0,10,2,-12
195,Kansas City Chiefs,DS,KC,7,7,2,195,0,10,1,-16
196,Dontayvion Wicks,WR,GB,75,75,7,196,0,5,2,101
197,Detroit Lions,DS,DET,8,8,3,197,0,8,1,-11
198,Jalen Coker,WR,CAR,76,76,7,198,0,14,4,98
199,Buffalo Bills,DS,BUF,9,9,3,199,0,7,5,-10
200,Brandon Aubrey,K,DAL,1,1,1,200,0,10,4,-61
201,Darius Slayton,WR,NYG,77,77,7,201,0,14,2,61
202,Jake Bates,K,DET,2,2,1,202,0,8,1,-30
203,Miles Sanders,RB,DAL,61,61,7,203,0,10,2,20
204,Dalton Schultz,TE,HOU,28,28,5,204,0,6,3,22
205,Kendre Miller,RB,NO,62,62,7,205,0,11,4,81
206,Los Angeles Chargers,DS,LAC,10,10,3,206,0,12,5,62
207,Cameron Dicker,K,LAC,3,3,1,207,0,12,5,-54
208,Justice Hill,RB,BAL,63,63,7,208,0,7,4,-3
209,Seattle Seahawks,DS,SEA,11,11,3,209,0,8,3,16
210,Wil Lutz,K,DEN,4,4,2,210,0,12,5,-15
211,Adonai Mitchell,WR,IND,78,78,7,211,0,11,4,83
212,Chris Boswell,K,PIT,5,5,2,212,0,5,1,-28
213,Green Bay Packers,DS,GB,12,12,3,213,0,5,2,14
214,Los Angeles Rams,DS,LAR,13,13,3,214,0,8,3,1
215,Anthony Richardson Sr.,QB,IND,29,29,5,215,0,11,3,-35
216,Kyle Monangai,RB,CHI,64,64,7,216,0,5,3,-7
217,Andrei Iosivas,WR,CIN,79,79,7,217,0,10,3,66
218,Devin Neal,RB,NO,65,65,7,218,0,11,4,13
219,Chase McLaughlin,K,TB,6,6,2,219,0,9,3,-28
220,Jaylin Noel,WR,HOU,80,80,7,220,0,6,4,23
221,DJ Giddens,RB,IND,66,66,7,221,0,11,2,-3
222,Calvin Austin III,WR,PIT,81,81,7,222,0,5,4,49
223,Ka'imi Fairbairn,K,HOU,7,7,2,223,0,6,3,-40
224,New York Jets,DS,NYJ,14,14,4,224,0,9,5,16
225,Elic Ayomanor,WR,TEN,82,82,7,225,0,10,4,55
226,Will Shipley,RB,PHI,67,67,7,226,0,9,3,11
227,Harrison Butker,K,KC,8,8,2,227,0,10,3,-37
228,Ja'Tavion Sanders,TE,CAR,29,29,5,228,0,14,4,27
229,Evan McPherson,K,CIN,9,9,2,229,0,10,1,-30
230,Tyler Lockett,WR,TEN,83,83,7,230,0,10,4,31
231,Pat Bryant,WR,DEN,84,84,8,231,0,12,3,8
232,Elijah Arroyo,TE,SEA,30,30,5,232,0,8,4,0
233,Jaleel McLaughlin,RB,DEN,68,68,7,233,0,12,2,24
234,San Francisco 49ers,DS,SF,15,15,4,234,0,14,5,-41
235,Tyler Bass,K,BUF,10,10,2,235,0,7,2,-27
236,Russell Wilson,QB,NYG,30,30,5,236,0,14,1,-6
237,Devaughn Vele,WR,DEN,85,85,8,237,0,12,3,70
238,Juwan Johnson,TE,NO,31,31,6,238,0,11,3,32
239,Jake Elliott,K,PHI,11,11,3,239,0,9,2,-20
240,Jarquez Hunter,RB,LAR,69,69,7,240,0,8,3,-16
241,Tahj Brooks,RB,CIN,70,70,7,241,0,10,4,0
242,Raheem Mostert,RB,LV,71,71,7,242,0,8,2,10
243,Jason Sanders,K,MIA,12,12,3,243,0,12,2,-27
244,Keaton Mitchell,RB,BAL,72,72,7,244,0,7,4,58
245,Keenan Allen,WR,FA,86,86,8,245,0,-,-,-35
246,Woody Marks,RB,HOU,73,73,7,246,0,6,2,-12
247,Cole Kmet,TE,CHI,32,32,6,247,0,5,4,22
248,Dallas Cowboys,DS,DAL,16,16,4,248,0,10,0,-19
249,Brashard Smith,RB,KC,74,74,7,249,0,10,2,-28
250,Jalen Royals,WR,KC,87,87,8,250,0,10,3,-14
251,Younghoe Koo,K,ATL,13,13,3,251,0,5,4,-9
252,Audric Estime,RB,DEN,75,75,7,252,0,12,2,47
253,Elijah Mitchell,RB,KC,76,76,7,253,0,10,2,-2
254,Diontae Johnson,WR,CLE,88,88,8,254,0,9,2,36
255,Roman Wilson,WR,PIT,89,89,8,255,0,5,4,49
256,Tampa Bay Buccaneers,DS,TB,17,17,4,256,0,9,3,-58
257,Jalen Tolbert,WR,DAL,90,90,8,257,0,10,2,69
258,Kenneth Gainwell,RB,PIT,77,77,7,258,0,5,4,65
259,Ollie Gordon II,RB,MIA,78,78,7,259,0,12,4,19
260,Trevor Etienne,RB,CAR,79,79,8,260,0,14,3,6
261,Daniel Jones,QB,IND,31,31,5,261,0,11,3,-15
262,Sean Tucker,RB,TB,80,80,8,262,0,9,3,55
263,Ty Johnson,RB,BUF,81,81,8,263,0,7,4,62
264,Nick Westbrook-Ikhine,WR,MIA,91,91,8,264,0,12,3,-
265,Brandin Cooks,WR,NO,92,92,8,265,0,11,4,56
266,Devin Singletary,RB,NYG,82,82,8,266,0,14,3,32
267,Antonio Gibson,RB,NE,83,83,8,267,0,14,4,10
268,Elijah Moore,WR,BUF,93,93,8,268,0,7,3,60
269,Joshua Karty,K,LAR,14,14,3,269,0,8,2,-4
270,Matt Gay,K,WAS,15,15,3,270,0,12,3,-21
271,Dyami Brown,WR,JAC,94,94,8,271,0,8,4,-8
272,Malik Washington,WR,MIA,95,95,8,272,0,12,3,-
273,Kayshon Boutte,WR,NE,96,96,8,273,0,14,3,40
274,Noah Gray,TE,KC,33,33,6,274,0,10,3,5
275,Khalil Herbert,RB,IND,84,84,8,275,0,11,2,57
276,Isaiah Davis,RB,NYJ,85,85,8,276,0,9,5,53
277,Jordan James,RB,SF,86,86,8,277,0,14,3,-5
278,Cleveland Browns,DS,CLE,18,18,4,278,0,9,3,-2
279,Tre Tucker,WR,LV,97,97,8,279,0,8,4,21
280,Joe Flacco,QB,CLE,32,32,5,280,0,9,2,-13
281,Tyler Shough,QB,NO,33,35,6,281,0,11,5,-43
282,Amari Cooper,WR,FA,98,98,8,282,0,-,-,-18
283,Sincere McCormick,RB,LV,87,87,8,283,0,8,2,-
284,Harold Fannin Jr.,TE,CLE,34,34,6,284,0,9,3,4
285,Tyrod Taylor,QB,NYJ,34,34,6,285,0,9,5,-
286,Dameon Pierce,RB,HOU,88,88,8,286,0,6,2,44
287,Theo Johnson,TE,NYG,35,35,6,287,0,14,2,-5
288,Alexander Mattison,RB,MIA,89,89,8,288,0,12,4,-1
289,Chicago Bears,DS,CHI,19,19,5,289,0,5,2,-44
290,Taysom Hill,TE,NO,36,36,7,290,0,11,3,16
291,Kimani Vidal,RB,LAC,90,90,8,291,0,12,2,-
292,Tim Patrick,WR,DET,99,99,8,292,0,8,3,-
293,Darren Waller,TE,MIA,37,37,7,293,0,12,3,-96
294,Parker Washington,WR,JAC,100,100,8,294,0,8,4,-
295,Jaxson Dart,QB,NYG,35,33,6,295,0,14,1,-47
296,Noah Fant,TE,CIN,10,10,4,100,0,-,-,-
297,Jacory Croskey-Merritt,RB,WAS,91,91,8,297,0,12,2,-37
298,Jalen Nailor,WR,MIN,101,101,8,298,0,6,2,-6
299,Daniel Carlson,K,LV,16,16,3,299,0,8,3,-52
300,Christian Watson,WR,GB,102,102,8,300,0,5,2,14
